			BibTeX Key	Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
1	0	0	4254	4254	Kavemann, Barbara; Nagel, Bianca; Hertlein, Julia	Fallbezogene Beratung und Beratung von Institutionen zu Schutzkonzepten bei sexuellem Missbrauch		1 Soziale Rahmung; 1.2 Policies; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.8 PRÄVIK	Forschungsstand // state of research; Pädagogische Fachkräfte // pedagogial staff; Schutzkonzept // protection concept; Sexueller Missbrauch // sexual abuse
0	0	0	709	709	Kemper, Andreas	Die AfD und ihr Verständnis von Geschlecht und Sexualität		1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Geschlecht // gender; Politik // politics; Sexualität // sexuality
0	0	1	2774	2774	Klein, Alexandra	Moralpaniken der Jugendhilfe	Sozialmagazin	1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Gefahrendiskurs // danger narrative; Kinder- und Jugendhilfe // child welfare system
1	0	0	2679	2679	Klimke, Daniela; Lautmann, Rüdiger	Die mediale Konstitution der Moralpanik um die Missbrauchsdelikte		1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 6 Gewalt; 6.1 Sexueller Missbrauch	Diskurs // discourse; Gefahrendiskurs // danger narrative; Medien // media; Pädosexualität // pedosexuality; Sexualkultur // sexuality culture
0	0	0	3735	3735	Klimke, Daniela; Lautmann, Rüdiger	Sexualität und Strafe		1 Soziale Rahmung; 1.1 Diskurse; 1.2 Policies; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Diskurs // discourse; Recht // law; Sexualität // sexuality
0	0	0	3014	3014	Körner, Wilhelm; Bauer, Ullrich; Kreuz, Ina	Prävention von sexualisierter Gewalt in der Primarstufe		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.2 Grundschule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.4 IGEL	Gewalt // violence; Handlungsempfehlungen // guidelines; Kinder // children; Konzepte, Materialien // concepts; Lehrer*innen // Teachers; Prävention // prevention; Psychologie // psychology; Schule // school; Schüler*innen // pupils; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Weiterbildung // further education
0	0	0	2614	2614	Krollpfeiffer, Daniela	Sichtweisen von jungen Menschen aus der Jugendarbeit auf sexualisierte Gewalt	Sozialmagazin	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.12 Safer Places	Ehrenamt // volunteer work; Forschungsergebnisse // research results; Qualitative Forschung // qualitative research; Sexualisierte Gewalt // sexual violence
0	0	0	2781	2781	Krolzik-Matthei, Katja; Voss, Heinz-Jürgen	Für eine Diskussionskultur	Sozialmagazin	2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Kinder- und Jugendhilfe // child welfare system; Organisationskultur // organisational culture; Prävention // prevention
0	0	0	3930	3930	Krolzik-Matthei, Katja; Voß, Heinz-Jürgen	Gewalt kommt in den Blick		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 8 Forschung; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Forschungsstand // state of research; Sexualisierte Gewalt // sexual violence
0	0	0	4154	4154	Kruber, Anja	Trans* und sexuell?!		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Trans* // trans*
0	0	0	2730	2730	Kubandt, Melanie	Geschlechterdifferenzierung in der Kindertageseinrichtung		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.1 Kinder	Ethnographie // ethnography; Forschungsergebnisse // research results; Geschlecht // gender; Kindertagesstätte // day-care centre; Qualitative Forschung // qualitative research
0	0	0	2780	2780	Lamby, Elena	Präventionsarbeit in der Deutschen Sportjugend	Sozialmagazin	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.1.13 Safe Sport	Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sport // sports
0	0	0	5029	5029	Lamers, Lydia	Sexualaufklärung	BZgA Forum	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Gesellschaft // society; Religion // religion; Sexualerziehung // sex ed
1	0	0	4008	4008	Mahs, Claudia; Rendtorff, Barbara; Rieske, Thomas Viola	Erziehung, Gewalt, Sexualität		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Geschlecht // gender; Gewalt // violence; Heterosexualität // heterosexuality; Intersektionalität // intersectionality; Jungen // boys; Macht // power; Pädagogik // pedagogy; Schule // school; Schüler*innen // pupils; Sexualisierte Gewalt // sexual violence; Sexualität // sexuality; Trauma // trauma
1	0	0	4385	4385	Messerschmidt, Astrid	"Nach Köln"		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.3 Ethnizität; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt; 6.3 Diskriminierung	Diskurs // discourse; Geschlecht // gender; interkulturell // intercultural; Intersektionalität // intersectionality; Rassismus // racism; Sexualisierte Gewalt // sexual violence; Sexualität // sexuality
1	0	0	2516	2516	Müller, Jürgen L.; Briken, Peer; Rösler, Michael; Fromberger, Peter; Jordan, Kirsten	EFPPP Jahrbuch 2016		8 Forschung; 9 Förderlinie; 9.3.2 Junprof Hamburg	Forschungspraxis // research practice; Täter*in // offender
0	0	0	5032	5032	Müller, Rabeya	Sexualität im Islam	BZgA Forum	1 Soziale Rahmung; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Religion // religion; Sexualerziehung // sex ed; Sexualität // sexuality
0	0	0	3745	3745	Ortland, Barbara	Sexuelle Selbstbestimmung von Menschen mit Behinderung		1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Menschen mit Behinderungen // people with disabilities; Selbstbestimmung // agency; Sexualverhalten // sexual behaviour; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse
0	0	0	5024	5024	Paul, Christa	Scham nach sexualisierter Gewalt in Kindheit und Jugend als Folge öffentlicher Zuschreibungen	Forum Gemeindepsychologie	1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.5 Negative Folgen	Betroffene sexualisierter Gewalt // sexual assault survivors; Diskurs // discourse; Langzeitfolgen // long-term effect; Scham // shame; Sexualisierte Gewalt // sexual violence
1	0	0	2900	2900	Pooch, Marie-Theres; Tremel, Inken	So können Schutzkonzepte in Bildungs- und Erziehungseinrichtungen gelingen!		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Pädagogische Einrichtung // educational facilities; Schutzkonzept // protection concept
0	0	0	4407	4407	Profus, Andrzej	Unsichtbares sichtbar machen		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Asexualität // asexuality
0	0	0	2016	2016	Rau, Thea; Ohlert, Jeannine; Fegert, Jörg M.; Allroggen, Marc	Disclosure von Jugendlichen in Jugendhilfeeinrichtungen und Internaten nach sexueller Gewalterfahrung	Praxis der Kinderpsychologie und Kinderpsychiatrie	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 2.2.6 Sonstige Einrichtungen; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.16 Sprich mit!	Betroffene sexualisierter Gewalt // sexual assault survivors; Disclosure // disclosure; Internat // boarding school; Jugendliche // youth; Sexualisierte Gewalt // sexual violence; Stationäre Einrichtungen // residential care
1	0	0	4130	4130	Rendtorff, Barbara; Glammeier, Sandra; Vogelsang, Verena	Bildung - Gewalt - Geschlecht		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Forschungsergebnisse // research results; Geschlecht // gender; Gewalt // violence; Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Quantitative Forschung // quantitative research; Schule // school; Sexualisierte Gewalt // sexual violence
0	0	0	2637	2637	Retkowski, Alexandra; Hess, Johanna; Grosse, Martin	"Oh Gott was mach ich denn damit"		1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.3.3 Junprof Kassel	Bewältigung // coping; Biographieforschung // biographical research; Einzelinterviews // one-on-one interviews; Forschungsergebnisse // research results; Geschlecht // gender; Professionalität // professionality; Sexualität // sexuality
0	0	0	4167	4167	Rieske, Thomas Viola	Junge ≠ Opfer?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.1 Aufdeckung und Prävention	Betroffene sexualisierter Gewalt // sexual assault survivors; Männer // men; Sexualisierte Gewalt // sexual violence
0	0	0	2017	2017	Rulofs, Bettina	"Jeder hat es gesehen. ... Keiner hat was gesagt"	Sport und Gesellschaft	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.13 Safe Sport	Forschungsstand // state of research; Gewalt // violence; Jugendliche // youth; Kinder // children; Lehrer*innen // Teachers; Macht // power; Normen // norms; Qualitative Analyse // qualitative analysis; Sexualität // sexuality; Sexueller Missbrauch // sexual abuse; Sozialwissenschaften // social sciences; Sport // sports; Survey // survey
0	0	0	2778	2778	Rulofs, Bettina; Wagner, Ingo	Kinder und Jugendliche im organisierten Sport schützen	Sozialmagazin	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.13 Safe Sport	Organisationskultur // organisational culture; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sport // sports
1	0	0	41	41	Rusack, Tanja; Domann, Sophie	Aspekte von Schutzkonzepten in der Heimerziehung aus der Sicht von Jugendlichen	Blickpunkt Jugendhilfe	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 3 Thematischer Fokus; 3.2 Gewaltprävention; 5 Adressat*innen; 5.2 Jugendliche; 9 Förderlinie; 9.1.3 Ich bin sicher!	Jugendliche // youth; Schutzkonzept // protection concept; Stationäre Einrichtungen // residential care
0	0	0	2731	2731	Sanyal, Mithu M.	Vergewaltigung		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt	Betroffene sexualisierter Gewalt // sexual assault survivors; Feminismus // feminism; Frauen // women; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Gesellschaft // society; Intersektionalität // intersectionality; Macht // power; Prävention // prevention; Recht // law; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Vergewaltigung // rape
0	0	0	2623	2623	Scambor, Elli; Wittenzellner, Ulla; Puchert, Ralf; Rieske, Thomas Viola; Könnecke, Bernard	"... dass die Leute da auch genauer hingucken"	Sozialmagazin	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.1 Aufdeckung und Prävention	Betroffene sexualisierter Gewalt // sexual assault survivors; Disclosure // disclosure; Geschlecht // gender; Jugendarbeit // youth work; Jungen // boys; Sexualisierte Gewalt // sexual violence
0	0	0	3923	3923	Scharmanski, Sara; Paschke, Stefanie; Urbann, Katharina; Verlinden, Karla	Prävention von sexuellem Missbrauch an Kindern und Jugendlichen mit Behinderung		1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.14 SeMB	Evaluation // evaluation; Jugendliche // youth; Kinder // children; Menschen mit Behinderungen // people with disabilities; Prävention // prevention; Sexueller Missbrauch // sexual abuse; Weiterbildung // further education
1	0	0	2002	2002	Scharmanski, Sara; Urbann, Katharina; Bienstein, Pia	Sexueller Missbrauch an Kindern und Jugendlichen mit Hörbehinderung Teil III	Das Zeichen: Zeitschrift für Sprache und Kultur Gehörloser	1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.14 SeMB	Forschungsergebnisse // research results; Menschen mit Behinderungen // people with disabilities; Prävention // prevention; Quantitative Forschung // quantitative research; Schule // school; Sexueller Missbrauch // sexual abuse; Survey // survey
0	0	0	768	768	Scherr, Albert; El-Mafaalani, Aladin; Gökcen Yüksel, Emine	Handbuch Diskriminierung		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention	Diskriminierung // discrimination; Handbuch // handbook
0	0	0	3940	3940	Schlag, Nadine	Asexualität		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Asexualität // asexuality
1	0	0	4147	4147	Schmauch, Ulrike	Sexualpädagogisches Handeln in der Sozialen Arbeit		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Nähe-Distanz-Regulation // boundary management; Professionalität // professionality; Sexualpädagog*innen // sex educators
0	0	0	2583	2583	Schröer, Wolfgang; Wolff, Mechthild	Schutzkonzepte in der Jugend(verbands)arbeit.	Sozialmagazin	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!; 9.1.12 Safer Places	Jugendliche // youth; Schutzkonzept // protection concept
0	0	0	4400	4400	Sielert, Uwe	Didaktik der Sexualpädagogik		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 9 Förderlinie; 9.3.4 Junprof Kiel	Geschichte // history; Pädagogik // pedagogy; Sexualpädagogik // sex education
0	0	0	5023	5023	Sielert, Uwe	Sexualität ist politisch	Forum Gemeindepsychologie	1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 9 Förderlinie; 9.3.4 Junprof Kiel	Diskurs // discourse; Sexualkultur // sexuality culture; Sexuelle Bildung // sexuality education
1	0	0	4844	4844	Staudenmeyer, Bettina; Kaschuba, Gerrit; Barz, Monika; Bitzan, Maria	Vielfalt von Geschlecht und sexueller Orientierung in der Jugendarbeit Baden-Württemberg		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Diversität // diversity; Forschungsergebnisse // research results; Geschlecht // gender; Jugendarbeit // youth work; Sexuelle Orientierung // sexual orientation; Sexuelle Vielfalt // sexual diversity
0	0	0	5025	5025	Steinbach, Beate	Prävention sexualisierter Gewalt in der ehrenamtlichen Jugend(verbands)arbeit	Sozialmagazin	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.2 Andere Fachkräfte	Ehrenamt // volunteer work; Kinder- und Jugendhilfe // child welfare system; Prävention // prevention; Sexualisierte Gewalt // sexual violence
0	0	0	2626	2626	Treibel, Angelika	Empfehlungen zur Durchführung viktimologischer Interviews	Trauma und Gewalt	6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.2 DASsS	Diagnostik // diagnostics; Recht // law; Sexualisierte Gewalt // sexual violence; Trauma // trauma
0	0	0	4401	4401	Tuider, Elisabeth	Diskursive Gemengelagen		1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.1 Kinder	Diskurs // discourse; Kinder // children; kindliche Sexualität // childhood sexuality
1	0	0	2627	2627	Urbann, Katharina	Gemeinsam ALLE stark machen	AJS Forum	1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 5 Adressat*innen; 5.1 Kinder; 9 Förderlinie; 9.1.14 SeMB	Menschen mit Behinderungen // people with disabilities; Prävention // prevention; Sexualisierte Gewalt // sexual violence
0	0	0	4135	4135	Voß, Heinz-Jürgen	Diversity Kompetenz		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Diversität // diversity; Homosexualität // homosexuality; Sexuelle Vielfalt // sexual diversity
0	0	0	712	712	Watzlawik, Meike; Wenner, Friederike	Schwul, lesbisch, bi, hetero oder nichts von alledem?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Sexuelle Vielfalt // sexual diversity
0	0	0	2521	2521	Wazlawik, Martin; Andresen, Sabine; Böllert, Karin	Aufarbeitung sexueller Gewalt in Institutionen des Aufwachsens	Zeitschrift für Pädagogik	3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 8 Forschung; 9 Förderlinie; 9.3.5 Junprof Münster	Aufarbeitung // rehabilitation; Forschungsethik // research ethics; Forschungsstand // state of research; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
0	0	0	5036	5036	Wazlawik, Martin; Schwerdt, Daniel	Institutionelle Schutzkonzepte in der Schule	Soz Passagen (Soziale Passagen)	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.3.5 Junprof Münster	Nähe-Distanz-Regulation // boundary management; Pädagogische Beziehung // pedagogical relationship; Professionalität // professionality; Schule // school; Schutzkonzept // protection concept
1	0	0	3687	3687	Welser, Stephanie	Fraktale Vielfalt zwischen Pädagogik und Politik		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 5 Adressat*innen; 5.2 Jugendliche	Forschungsergebnisse // research results; Pädagogik // pedagogy; Politik // politics
1	0	0	4414	4414	Welter, Max; Rind, Bruce	Das gesellschaftliche Konstrukt der sexuellen Selbstbestimmung im deutschen Recht		1 Soziale Rahmung; 1.1 Diskurse; 1.2 Policies; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Recht // law; Selbstbestimmung // agency
0	0	0	2515	2515	Wenzlaff, Frederike; Dekker, Arne	Alterseinschätzung im Kontext von Pornografie		3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.2 Junprof Hamburg	Forschungsergebnisse // research results; Pädosexualität // pedosexuality; Pornografie // pornography; Survey // survey
0	0	0	626	626	Wirxel, Johanna	Sexualisierte Gewalt unter Jugendlichen als Ausdruck symbolischer Ordnung in der Jugendarbeit	Sozialmagazin	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.12 Safer Places	Forschungsergebnisse // research results; Jugendarbeit // youth work; Peergewalt // peer violence; Qualitative Forschung // qualitative research; Sexualisierte Gewalt // sexual violence
0	0	0	2777	2777	Wolff, Mechthild; Norys, Tobias	Sexualisierte Jugend?	Sozialmagazin	3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.12 Safer Places	Forschungsergebnisse // research results; Jugendliche // youth; Kinder- und Jugendhilfe // child welfare system; Peergewalt // peer violence; Qualitative Forschung // qualitative research; Sexualisierte Gewalt // sexual violence
1	0	0	2772	2772	Ahmad, Aisha-Nusrat; Bardehle, Doris; Andresen, Sabine; Beier, Klaus M.	Sexualität von Männern		8 Forschung	Aggression // aggression; Handbuch // handbook; Homosexualität // homosexuality; Männer // men; Medizin // medicine; Sexualität // sexuality; Sexualverhalten // sexual behaviour
1	0	0	2593	2593	Alfes, Jana; Finne, Emily; Czerwinski, Fabian; Kolip, Petra	Prävention sexualisierter Gewalt	Präv Gesundheitsf (Prävention und Gesundheitsförderung)	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.2 Grundschule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.4 IGEL	Evaluation // evaluation; Forschungsergebnisse // research results; Grundschule // elementary school; Kinder // children; Konzepte, Materialien // concepts; Prävention // prevention; Quantitative Forschung // quantitative research; Sexualisierte Gewalt // sexual violence
0	0	0	2019	2019	Allroggen, Marc; Domann, Sophie; Eßer, Florian; Fegert, Jörg M.; Kampert, Meike; Rau, Thea; Rusack, Tanja; Schloz, Carolin; Schröer, Wolfgang; Strahl, Benjamin; Wolff, Mechthild	Einleitung		3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Kinderschutz // child protection; Schutzkonzept // protection concept
0	0	0	3907	3907	Allroggen, Marc; Domann, Sophie; Eßer, Florian; Fegert, Jörg M.; Kampert, Meike; Rau, Thea; Rusack, Tanja; Schloz, Carolin; Schröer, Wolfgang; Strahl, Benjamin; Wolff, Mechthild	Methoden und Vorgehen im Forschungsprojekt		3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Kinderschutz // child protection; Konzepte, Materialien // concepts; Schutzkonzept // protection concept
0	0	0	4116	4116	Allroggen, Marc; Schloz, Carolin; Strahl, Benjamin; Domann, Sophie; Rusack, Tanja	Ergebnisse der Online- und Fragebogenbefragung		3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Forschungsergebnisse // research results; Kinderschutz // child protection; Schutzkonzept // protection concept; Survey // survey
1	0	0	2034	2034	Andresen, Sabine; Demant, Marie Zoé	Worin liegt die Verantwortung der Erziehungswissenschaft?	Erziehungswissenschaft	1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.11 RifA	Aufarbeitung // rehabilitation; Pädagogik // pedagogy; Sexualisierte Gewalt // sexual violence
0	0	0	2784	2784	Baader, Meike Sophia	Zwischen Politisierung, Pädosexualität und Befreiung aus dem "Getto der Kindheit"		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.1 Sexueller Missbrauch	68er // 1960s; Geschichte // history; kindliche Sexualität // childhood sexuality; Pädosexualität // pedosexuality
1	0	0	615	615	Baader, Meike Sophia; Jansen, Christian; König, Julia; Sager, Christin	Tabubruch und Entgrenzung		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.1 Sexueller Missbrauch	68er // 1960s; Geschichte // history; kindliche Sexualität // childhood sexuality; Pädosexualität // pedosexuality
0	0	0	5007	5007	Ballaschk, Cindy	Diskurse um Migration, Geschlecht und Sexualität im schulischen Sexualerziehungsunterricht		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.3 Ethnizität; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Geschlecht // gender; interkulturell // intercultural; Schule // school; Sexualerziehung // sex ed; Sexualität // sexuality
1	0	1	2743	2743	Bange, Dirk	Sprechen und forschen über das Unsagbare	DJI Impulse	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention	Diskurs // discourse; Kommunikation // communication; Sexualisierte Gewalt // sexual violence
0	0	0	3870	3870	Becker, Sophinette	Aktuelle Diskurse über Pädosexualität/Pädophilie und ihre Leerstellen		1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.1 Sexueller Missbrauch	Diskurs // discourse; Pädosexualität // pedosexuality
