;;;Autor, Herausgeber oder Institution;Zeitschrift/Zeitung;Laufnummer;BibTeX Key;Schlagwörter;Kategorien;Titel
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;182;ForumSexualaufklarung.2016b;"Gefahrendiskurs // danger narrative; Geschichte // history; Gesellschaft // society; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Homonationalismus // homonationalism; Homosexualität // homosexuality; interkulturell // intercultural; Kirche // church; Kommunikation // communication; Macht // power; Pädosexualität // pedosexuality; Prävention // prevention; Praxis // practice; Recht // law; Religion // religion; Sexualerziehung // sex ed; Sexualpädagog*innen // sex educators; Sexuelle Bildung // sexuality education; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung";Heft 2-2016: Sexualaufklärung im interreligiösen Dialog
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;183;ForumSexualaufklarung.2017;"Gewalt // violence; Grenzen // boundaries; Haltung // attitude; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Institutionelle Dynamiken // institutional dynamics; Jugendarbeit // youth work; Kinder- und Jugendhilfe // child welfare system; Kommunikation // communication; Konzepte, Materialien // concepts; Kooperation // cooperation; Macht // power; Menschen mit Behinderungen // people with disabilities; Menschenrechte // human rights; Normen // norms; Recht // law";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung";Heft 1-2017: Sexualität und Behinderung
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;184;ForumSexualaufklarung.2017b;"Digitale Medien // digital media; Gefahrendiskurs // danger narrative; Gender Studies // Gender Studies; Geschlechterverhältnis // gender ratio; Körper // body; Männlichkeit // masculinity; Medien // media; Prävention // prevention; Sexualität // sexuality; Soziale Ungleichheit // social inequality; Weiblichkeit // femininity";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.6 Schicht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung";Heft 2-2017: Verhütung und soziale Lage
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;185;ForumSexualaufklarung.2018;"Gewalt // violence; Grenzen // boundaries; Haltung // attitude; Handlungsempfehlungen // guidelines; Institutionelle Dynamiken // institutional dynamics; interkulturell // intercultural; Intersektionalität // intersectionality; Pädagogik // pedagogy; Professionalität // professionality; Professionsethik // professional ethics; Rassismus // racism; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality";"1 Soziale Rahmung; 1.1 Diskurse";Heft 1-2018: Kontext: Flucht
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;186;ForumSexualaufklarung.2018b;"Pädagogik // pedagogy; Prävention // prevention; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch";Heft 2-2018: Prävention sexualisierter Gewalt
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;187;ForumSexualaufklarung.2019;"Jugendliche // youth; junge Erwachsene // young adults; Konzepte, Materialien // concepts; Macht // power; Medien // media; Menschenrechte // human rights; Nähe-Distanz-Regulation // boundary management; Normen // norms; Pädagogik // pedagogy; Professionalität // professionality; Professionsethik // professional ethics; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality";"1 Soziale Rahmung; 1.3 Medien und Technologie";Heft 1-2019: Social Media
FALSCH;FALSCH;FALSCH;Forum Sexualaufklärung;;188;ForumSexualaufklarung.2020;"Forschungsergebnisse // research results; Forschungsmethoden // research methods; Forschungspraxis // research practice; Jugendsexualität // youth sexuality; Partizipation // participation; Peergewalt // peer violence; Prävention // prevention; Sexualisierte Gewalt // sexual violence";"1 Soziale Rahmung; 1.1 Diskurse; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung; 8 Forschung";Heft 1-2020: Peer-Ansätze - Forum Sexualaufklärung
FALSCH;FALSCH;FALSCH;Franke, Annika;;189;Franke.;"Gender Studies // Gender Studies; Geschlecht // gender; Queer Theorie // Queer Theory; Schule // school; Soziale Arbeit // Social Work; Trans* // trans*";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.3 Diskriminierung";Genderbewusstsein in der Schulsozialarbeit am Beispiel der Trans*Identität
FALSCH;FALSCH;FALSCH;"Franke-Meyer, Diana; Kuhlmann, Carola";;190;FrankeMeyer.2018;Soziale Arbeit // Social Work;"1 Soziale Rahmung; 1.1 Diskurse";Soziale Bewegungen und Soziale Arbeit
FALSCH;FALSCH;FALSCH;Franzheld, Tobias;Sozial Extra (Sozial Extra);191;Franzheld.2018;"Haltung // attitude; Kinderschutz // child protection";"3 Thematischer Fokus; 3.3 Kinderschutz";Auf welcher Seite stehen wir im Kinderschutz?
FALSCH;FALSCH;FALSCH;Franzheld, Tobias;Der pädagogische Blick;192;Franzheld.2018b;"Kinder // children; Kinderschutz // child protection; Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Soziale Arbeit // Social Work";"3 Thematischer Fokus; 3.3 Kinderschutz";Berufsvergleiche im Kinderschutz
FALSCH;FALSCH;FALSCH;Frense, Elena;;193;Frense.2020;"Digitale Medien // digital media; Jugendliche // youth; junge Erwachsene // young adults; Kinder // children; Kommunikation // communication; Medien // media; Partizipation // participation; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.3 Kinderschutz";Partizipativer Jugendmedienschutz
FALSCH;FALSCH;FALSCH;Freund, Ulli;Theorie und Praxis der Sozialpädagogik;194;Freund.2018;"Grenzen // boundaries; Kindertagesstätte // day-care centre; kindliche Sexualität // childhood sexuality; Sexualisierte Gewalt // sexual violence; Sexualpädagogik // sex education";"2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.2 Übergriff, Peergewalt";Wenn da mal nichts passiert...!
FALSCH;FALSCH;FALSCH;FREY, VANESSA;;195;FREY.;"Intervention // intervention; Jugendliche // youth; Kinder // children; Organisationskultur // organisational culture; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences; Stationäre Einrichtungen // residential care";"1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 8 Forschung";Sexuelle Gewalt und Missbrauch von Kindern und Jugendlichen in der Heimerziehung
FALSCH;FALSCH;FALSCH;Friebel, Harry;UJ (unsere jugend);196;Friebel.2020;"Aggression // aggression; Bedarfe // needs; Bewältigung // coping; Diagnostik // diagnostics; Disclosure // disclosure; Gender Studies // Gender Studies; Geschlecht // gender; Jungen // boys; Männer // men; Männlichkeit // masculinity";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention";Wenn sich Jungs selbst verletzen
FALSCH;FALSCH;FALSCH;Fries, Sabine;;197;Fries.2020;"Frauen // women; Gesundheit // health; Gewalt gegen Frauen // violence against women; Körper // body; Langzeitfolgen // long-term effect; Menschen mit Behinderungen // people with disabilities; Resilienz // resilience; Risikofaktoren // risk factors; Schutzfaktoren // protection factor";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.5 Behinderungen; 6 Gewalt; 6.5 Negative Folgen; 6.6 Resilienz; 8 Forschung";Gewalterfahrungen gehörloser Frauen
FALSCH;FALSCH;FALSCH;fruehe-kindheit-online.de;;198;fruehekindheitonline.de.;"Gewalt // violence; Grenzen // boundaries; Jugendliche // youth; Kinder // children; Pädagogische Fachkräfte // pedagogial staff; Sexueller Übergriff // sexual assault";"3 Thematischer Fokus; 3.3 Kinderschutz; 3.4 Intervention";Frühe Kindheit - frühe Kindheit Nr. 1/20
FALSCH;FALSCH;FALSCH;Füchslbauer, Tina;TUP - Theorie und Praxis der Sozialen Arbeit;199;Fuchslbauer.2018;"Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Professionalität // professionality; Professionsethik // professional ethics; Sexualität // sexuality; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.1 Diskurse; 7 Sexualität; 7.2 Beziehungsgestaltung";Ist Sex soziale Arbeit?
FALSCH;FALSCH;FALSCH;Füchslbauer, Tina;TUP - Theorie und Praxis der Sozialen Arbeit;200;Fuchslbauer.2019;"Intergeschlechtlichkeit // intersexuality; Intersektionalität // intersectionality; Jugendarbeit // youth work; Jugendliche // youth; Jugendsexualität // youth sexuality; Pädagogik // pedagogy; Queer Theorie // Queer Theory; Queerness // Queerness; Rassismus // racism; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*; 1.4.6 Schicht; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.3 Diskriminierung; 6.5 Negative Folgen";“It’s bad enough being homeless”
FALSCH;FALSCH;FALSCH;Fütty, Tamás Jules Joshua;;201;Futty.2019;"Bedarfe // needs; Feminismus // feminism; Forschungsergebnisse // research results; Gender Studies // Gender Studies; Gerechtigkeit // justice; Geschichte // history; Geschlechterverhältnis // gender ratio; Gesellschaft // society; Gewalt // violence; Grenzen // boundaries; Körper // body; Macht // power; Medizin // medicine; Menschenrechte // human rights; Normen // norms; Trans* // trans*";"1 Soziale Rahmung; 1.1 Diskurse; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 6 Gewalt; 6.5 Negative Folgen; 8 Forschung";Gender und Biopolitik
FALSCH;FALSCH;FALSCH;Ganterer, Julia;;202;Ganterer.2018;"Einzelinterviews // one-on-one interviews; Feminismus // feminism; Forschungsergebnisse // research results; Jugendliche // youth; Körper // body; Mädchen // girls";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche";Körpermodifikationen und leibliche Erfahrungen in der Adoleszenz
FALSCH;FALSCH;FALSCH;Gathen, Katharina von der;;203;Gathen.2018;"Kinder // children; Konzepte, Materialien // concepts; Sexualerziehung // sex ed; Sexualpädagogik // sex education";"3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien; 5 Adressat*innen; 5.1 Kinder";Klär mich weiter auf
FALSCH;FALSCH;FALSCH;"Gaupp, Nora; Krell, Claudia";UJ (unsere jugend);204;Gaupp.2020;"Gender Studies // Gender Studies; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Geschlechtsidentität // gender Identity; Gesellschaft // society; Haltung // attitude; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Homonationalismus // homonationalism; Institutionelle Dynamiken // institutional dynamics; Intergeschlechtlichkeit // intersexuality; Pädagogik // pedagogy; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 5 Adressat*innen; 5.2 Jugendliche";Lebenssituationen von lesbischen, schwulen, bisexuellen, trans* und queeren Jugendlichen
FALSCH;FALSCH;FALSCH;Gebrande, Julia;;205;Gebrande.2019;"Aufarbeitung // rehabilitation; Betroffene sexualisierter Gewalt // sexual assault survivors; Forschungsergebnisse // research results; Forschungspraxis // research practice; Forschungsstand // state of research; Kirche // church; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.1 Diskurse; 1.4.4 Religion; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2.6 Sonstige Einrichtungen; 3.4 Intervention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung; 8 Forschung";Machtmissbrauch in der katholischen Kirche
FALSCH;FALSCH;FALSCH;Gebrande, Julia;Kindesmisshandlung und -vernachlässigung;206;Gebrande.2019b;"Forschungsergebnisse // research results; Forschungsstand // state of research; Kirche // church; Prävention // prevention; Praxis // practice; Sexualisierte Gewalt // sexual violence; Sexualisierung // sexualisation; Sexuelle Belästigung // sexual harassment; Sexuelle Bildung // sexuality education; Sexueller Missbrauch // sexual abuse";"1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung";Sexualisierte Gewalt in der katholischen Kirche – ein Überblick über aktuelle Forschungen und Entwicklungen und ihre Konsequenzen
FALSCH;FALSCH;FALSCH;"Gebrande, Julia; Schäfferling, Stefan";Kindesmisshandlung und -vernachlässigung;207;Gebrande.2019c;"Bedarfe // needs; Diagnostik // diagnostics; Jugendliche // youth; junge Erwachsene // young adults; Kinder // children; Medizin // medicine; Menschen mit Behinderungen // people with disabilities; Normen // norms; Sexualisierte Gewalt // sexual violence; Trauma // trauma";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.5 Behinderungen; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.5 Negative Folgen; 8 Forschung";Traumatisierung durch medizinische Behandlungen
FALSCH;FALSCH;FALSCH;"Gegenfurtner, Andreas; Gebhardt, Markus";Zeitschrift für Pädagogik;208;Gegenfurtner.2018;"Forschungsergebnisse // research results; Forschungsstand // state of research; Sexualpädagogik // sex education; Sexuelle Vielfalt // sexual diversity";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik";Sexualpädagogik der Vielfalt
FALSCH;FALSCH;FALSCH;Geier, Katrin;;209;Geier.2020;"Aggression // aggression; Bedarfe // needs; Gender Studies // Gender Studies; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Geschlechtsidentität // gender Identity; Gewalt // violence; Grenzen // boundaries; Jugendarbeit // youth work; jugendliche Täter*innen // youth offenders; junge Erwachsene // young adults; Mädchen // girls; Peergewalt // peer violence; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt";Das Phänomen Mädchengewalt in der Jugend
FALSCH;FALSCH;FALSCH;"Geiss, Michael; Magyar-Haas, Veronika";;210;Geiss.2015;"Kommunikation // communication; Macht // power; Pädagogik // pedagogy";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz";Zum Schweigen
FALSCH;FALSCH;FALSCH;Geller, Bernd;;211;Geller.2018;"Coming out // coming out; Eltern // parents; Konzepte, Materialien // concepts; Sexuelle Vielfalt // sexual diversity";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien; 5 Adressat*innen; 5.3 Eltern und Familie";Sexuelle Vielfalt und Coming-Out
FALSCH;FALSCH;FALSCH;"Genkova, Petia; Ringeisen, Tobias";;212;Genkova.2016;"Diversität // diversity; Psychologie // psychology";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten";Handbuch Diversity Kompetenz
FALSCH;FALSCH;FALSCH;Gerber, Julia;Pädagogik;213;Gerber.2018;"Schule // school; Sexuelle Vielfalt // sexual diversity";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.2 Grundschule; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte";Unterschiedliche Lebensweisen altersgemäß zur Sprache bringen
FALSCH;FALSCH;FALSCH;Glammeier, Sandra;Die berufsbildende Schule;214;Glammeier.2015b;"Lehrer*innen // Teachers; Schule // school; Schüler*innen // pupils; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Weiterbildung // further education";"2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule";Pädagogische Herausforderungen angesichts sexueller Gewalt
FALSCH;FALSCH;FALSCH;"Glaser, Edith; Koller, Hans-Christoph; Thole, Werner; Krumme, Salome";;215;Glaser.2018;"Pädagogik // pedagogy; Raum // space";8 Forschung;Räume für Bildung – Räume der Bildung
FALSCH;FALSCH;FALSCH;"Glaser, Edith; Mayer, Ralf; Retkowski, Alexandra";;216;Glaser.2020;"Institutionelle Dynamiken // institutional dynamics; Lehrer*innen // Teachers; Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Prävalenz // prevalence; Schule // school; Schüler*innen // pupils; Schutzfaktoren // protection factor; Sexualisierte Gewalt // sexual violence; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.2 Grundschule; 2.2.3 Weiterführende Schule; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 8 Forschung";Sexualisierte Gewalt in schulischen Einrichtungen
FALSCH;FALSCH;FALSCH;"Glockentöger, Ilke; Adelt, Eva";;217;Glockentoger.2017;"Geschlecht // gender; Pädagogik // pedagogy; Schule // school";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte";Gendersensible Bildung und Erziehung in der Schule
FALSCH;FALSCH;FALSCH;Gnielka, Martin;Sozial Extra;218;Gnielka.2019;"Konzepte, Materialien // concepts; Prävention // prevention; Sexualpädagogik // sex education";"3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 3.5 Praxismaterialien";Lustvolle Sexualpädagogik – furchteinflößende Missbrauchsprävention?
FALSCH;FALSCH;FALSCH;"Gottberg, Joachim von; Ifland, Teresa";BZgA Forum;219;Gottberg.2016;"Medien // media; Sexualethik // sexual ethics; Sexualkultur // sexuality culture; Sexualpädagogik // sex education";"1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik";Sexualethik im Wandel
FALSCH;FALSCH;FALSCH;"Griese, Christiane; Marburger, Helga; Müller, Thomas";;220;Griese.2016;"Handbuch // handbook; Pädagogik // pedagogy";"1 Soziale Rahmung; 1.1 Diskurse";Bildungs(organisations)evaluation
FALSCH;FALSCH;FALSCH;Groeger-Roth, Frederick;UJ (unsere jugend);221;GroegerRoth.2015;Prävention // prevention;"3 Thematischer Fokus; 3.2 Gewaltprävention";"Die ""Grüne Liste Prävention"". Evaluierte Präventionsprogramme im Überblick"
FALSCH;FALSCH;FALSCH;Groh-Mers, Tanja;UJ (unsere jugend);222;GrohMers.2014;"Aufarbeitung // rehabilitation; Disclosure // disclosure; Grenzen // boundaries; Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Organisationskultur // organisational culture; Prävention // prevention; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Schutzkonzept // protection concept; Sexualpädagog*innen // sex educators; Sexualpädagogik // sex education; Stationäre Einrichtungen // residential care";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche";Möglichkeiten und Grenzen sexualpädagogischen Handelns in der stationären Jugendhilfe. oder: Wie gehe ich als PädagogIn mit dem Gehörten und Erlebten um und wie kann ich meine Grenzen und die Grenzen der Kinder und Jugendlichen wahren?
FALSCH;FALSCH;FALSCH;Gruber, Thomas;;223;Gruber.2018;"jugendliche Täter*innen // youth offenders; Psychotherapie // psychotherapy; Sexualisierte Gewalt // sexual violence; Täter*in // offender";"3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.2 Übergriff, Peergewalt";Sexuell deviantes Verhalten von Jugendlichen
FALSCH;FALSCH;FALSCH;Günderoth, Miriam;;224;Gunderoth.2017;"Jugendarbeit // youth work; Kindeswohl // child welfare; Prävention // prevention; Sexualisierte Gewalt // sexual violence";"2 Institutioneller Kontext; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte";Kindeswohlgefährdung
FALSCH;FALSCH;FALSCH;Günther, Manfred;;225;Gunther.2021;"Gewalt // violence; Lehrer*innen // Teachers; Professionalität // professionality; Schule // school; Schüler*innen // pupils; Schutzkonzept // protection concept";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 6.3 Diskriminierung";Gewalt an Schulen - Prävention
FALSCH;FALSCH;FALSCH;"Gysi, Jan; Rüegger, Peter";;226;Gysi.2018;"Handbuch // handbook; Prävention // prevention; Psychotherapie // psychotherapy; Recht // law; Sexualisierte Gewalt // sexual violence; Täter*in // offender";"3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 4 Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch";Handbuch sexualisierte Gewalt
FALSCH;FALSCH;FALSCH;Haep, Gudrun;;227;Haep.2020;"Diskurs // discourse; Gewalt // violence; Jugendarbeit // youth work; Jugendliche // youth; junge Erwachsene // young adults; Kinder- und Jugendhilfe // child welfare system; Pädagogik // pedagogy; Prävention // prevention; Praxis // practice; Professionalität // professionality; Professionsethik // professional ethics; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality; Stereotype // stereotypes";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt";Gewalt als Jungenproblem. Ein kritischer Diskurs
FALSCH;FALSCH;FALSCH;Hahn, Daphne;BZgA Forum;228;Hahn.2016;"Gesellschaft // society; Sexuelle Vielfalt // sexual diversity";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik";Wie schaffen und erhalten wir gesellschaftliche Akzeptanz für das Thema sexuelle Vielfalt?
FALSCH;FALSCH;FALSCH;Haines, Staci;;229;Haines.2019;"Frauen // women; Selbstbestimmung // agency; Sexualisierte Gewalt // sexual violence; Sexualität // sexuality";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 6 Gewalt; 6.2 Übergriff, Peergewalt; 6.6 Resilienz; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung";ausatmen
FALSCH;FALSCH;FALSCH;Hajok, Daniel;UJ (unsere jugend);230;Hajok.2020;"Digitale Medien // digital media; Gewalt // violence; Jugendliche // youth; junge Erwachsene // young adults; Medien // media; Sexuelle Belästigung // sexual harassment";"1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 6.3 Diskriminierung";Sexuelle Belästigung und Cybergrooming. Grenzverletzungen gegenüber Heranwachsenden im Netz
FALSCH;FALSCH;FALSCH;Hamm, Jonas A.;;231;Hamm.2020;"Bedarfe // needs; Beziehungsgestaltung // relationships; Gender Studies // Gender Studies; Kommunikation // communication; Körper // body; Normen // norms; Praxis // practice; Queer Theorie // Queer Theory; Selbstbestimmung // agency; Sexualität // sexuality; Trans* // trans*";"1 Soziale Rahmung; 1.1 Diskurse; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung; 8 Forschung";Trans* und Sex
FALSCH;FALSCH;FALSCH;"Hammerschmidt, Peter; Juliane Sagebiel, Juliane; Stecklina, Gerd (Hrsg.)";;232;Hammerschmidt.2020;"Männer // men; Männlichkeit // masculinity; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken";Männer und Männlichkeiten in der Sozialen Arbeit
